id,color,numberFrame,frame2
0,1;0.5;1;1,1,-17.4680;138.1607;15.0000
1,1;0.5;1;1,1,-21.8897;135.5978;15.0000
2,1;0.5;1;1,1,-17.1380;133.1055;15.0000
3,1;0.5;1;1,1,-12.6524;130.1481;15.0000
4,1;0.5;1;1,1,-8.7438;126.4418;15.0000
5,1;0.5;1;1,1,-10.3887;122.4572;15.0000
6,1;0.5;1;1,1,-13.8203;118.3145;15.0000
7,1;0.5;1;1,1,-16.1350;113.4539;15.0000
8,1;0.5;1;1,1,-17.4438;108.2331;15.0000
9,1;0.5;1;1,1,-17.7658;102.8553;15.0000
10,1;0.5;1;1,1,-16.6446;97.6259;15.0000
11,1;0.5;1;1,1,-18.6827;93.1685;15.0000
12,1;0.5;1;1,1,-19.0702;87.8887;15.0000
13,1;0.5;1;1,1,-16.2486;83.4024;15.0000
14,1;0.5;1;1,1,-11.4201;81.0895;15.0000
15,1;0.5;1;1,1,-10.9155;77.2111;15.0000
16,1;0.5;1;1,1,-13.0075;72.2406;15.0000
17,1;0.5;1;1,1,-15.1723;67.3031;15.0000
18,1;0.5;1;1,1,-18.1259;62.8130;15.0000
19,1;0.5;1;1,1,-21.1045;58.3315;15.0000
20,1;0.5;1;1,1,-22.7635;53.2274;15.0000
21,1;0.5;1;1,1,-25.3942;48.8188;15.0000
22,1;0.5;1;1,1,-29.8187;45.7405;15.0000
23,1;0.5;1;1,1,-30.8429;42.3548;15.0000
24,1;0.5;1;1,1,-26.2126;39.6317;15.0000
25,1;0.5;1;1,1,-21.1850;37.6815;15.0000
26,1;0.5;1;1,1,-18.7231;34.9624;15.0000
27,1;0.5;1;1,1,-22.6770;36.7542;15.0000
28,1;0.5;1;1,1,-27.8762;35.5718;15.0000
29,1;0.5;1;1,1,-32.6207;33.0306;15.0000
30,1;0.5;1;1,1,-31.8685;28.0395;15.0000
31,1;0.5;1;1,1,-30.3617;22.8655;15.0000
32,1;0.5;1;1,1,-27.5089;21.5476;15.0000
33,1;0.5;1;1,1,-23.5462;23.6567;15.0000
34,1;0.5;1;1,1,-18.1609;23.9222;15.0000
35,1;0.5;1;1,1,-15.3477;26.3219;15.0000
36,1;0.5;1;1,1,-16.4073;30.6683;15.0000
37,1;0.5;1;1,1,-12.1891;34.0114;15.0000
38,1;0.5;1;1,1,-7.2061;34.8866;15.0000
39,1;0.5;1;1,1,-1.9388;36.0328;15.0000
40,1;0.5;1;1,1,3.2955;37.3295;15.0000
41,1;0.5;1;1,1,8.5376;37.2677;15.0000
42,1;0.5;1;1,1,10.4316;32.6255;15.0000
43,1;0.5;1;1,1,8.9963;28.3798;15.0000
44,1;0.5;1;1,1,11.9485;23.8763;15.0000
45,1;0.5;1;1,1,16.4835;21.7533;15.0000
46,1;0.5;1;1,1,21.5459;23.5919;15.0000
47,1;0.5;1;1,1,26.4140;25.8841;15.0000
48,1;0.5;1;1,1,25.2909;28.0408;15.0000
49,1;0.5;1;1,1,22.5667;32.5076;15.0000
50,1;0.5;1;1,1,20.5047;37.4900;15.0000
51,1;0.5;1;1,1,15.7755;35.9763;15.0000
52,1;0.5;1;1,1,14.5455;39.2876;15.0000
53,1;0.5;1;1,1,17.3171;43.3959;15.0000
54,1;0.5;1;1,1,21.0446;46.7007;15.0000
55,1;0.5;1;1,1,23.4031;51.3429;15.0000
56,1;0.5;1;1,1,22.0957;56.5269;15.0000
57,1;0.5;1;1,1,19.5589;61.2841;15.0000
58,1;0.5;1;1,1,16.8982;65.9729;15.0000
59,1;0.5;1;1,1,15.0067;71.0096;15.0000
60,1;0.5;1;1,1,15.7409;76.2929;15.0000
61,1;0.5;1;1,1,17.1723;81.2438;15.0000
62,1;0.5;1;1,1,21.8688;83.8785;15.0000
63,1;0.5;1;1,1,25.8851;87.4580;15.0000
64,1;0.5;1;1,1,28.7846;91.9795;15.0000
65,1;0.5;1;1,1,29.3751;97.2445;15.0000
66,1;0.5;1;1,1,26.2196;101.4761;15.0000
67,1;0.5;1;1,1,25.2223;106.5045;15.0000
68,1;0.5;1;1,1,27.9621;108.9294;15.0000
69,1;0.5;1;1,1,32.6207;110.7041;15.0000
70,1;0.5;1;1,1,29.8574;114.9958;15.0000
71,1;0.5;1;1,1,30.9621;118.3213;15.0000
72,1;0.5;1;1,1,30.0962;122.9555;15.0000
73,1;0.5;1;1,1,25.1135;124.9056;15.0000
74,1;0.5;1;1,1,20.3795;125.8922;15.0000
75,1;0.5;1;1,1,20.9152;131.0834;15.0000
76,1;0.5;1;1,1,15.9655;132.4544;15.0000
77,1;0.5;1;1,1,11.1256;130.2190;15.0000
78,1;0.5;1;1,1,6.4286;128.3689;15.0000
79,1;0.5;1;1,1,1.0476;128.0751;15.0000
80,1;0.5;1;1,1,-3.5035;127.3369;15.0000
81,1;0.5;1;1,1,-1.1263;132.1273;15.0000
82,1;0.5;1;1,1,-2.7298;136.7699;15.0000
83,1;0.5;1;1,1,-7.0497;136.7352;15.0000
84,1;0.5;1;1,1,-12.1169;138.4524;15.0000
